"price","dateoftransfer","yearchi","tfarea","laua","ldnm","region"
250000,2009-08-14,2009,110.1,"E07000208","Epsom and Ewell","South East"
86000,2009-02-10,2009,34.3,"E07000208","Epsom and Ewell","South East"
395500,2009-12-17,2009,122,"E07000208","Epsom and Ewell","South East"
187000,2009-11-20,2009,67.75,"E07000208","Epsom and Ewell","South East"
160000,2009-06-30,2009,54.47,"E07000208","Epsom and Ewell","South East"
155000,2009-05-14,2009,42.3,"E07000208","Epsom and Ewell","South East"
210000,2009-03-27,2009,66.54,"E07000208","Epsom and Ewell","South East"
288500,2009-11-13,2009,95.02,"E07000208","Epsom and Ewell","South East"
565000,2009-05-06,2009,172.4,"E07000208","Epsom and Ewell","South East"
355500,2009-07-29,2009,107.9,"E07000208","Epsom and Ewell","South East"
250000,2009-12-22,2009,75.7,"E07000208","Epsom and Ewell","South East"
250000,2009-10-27,2009,59.33,"E07000208","Epsom and Ewell","South East"
213000,2009-12-04,2009,59.79,"E07000208","Epsom and Ewell","South East"
670000,2009-10-22,2009,220.59,"E07000208","Epsom and Ewell","South East"
285000,2009-06-30,2009,84.55,"E07000208","Epsom and Ewell","South East"
155000,2009-05-22,2009,61.14,"E07000208","Epsom and Ewell","South East"
410000,2009-08-28,2009,122.96,"E07000208","Epsom and Ewell","South East"
209995,2009-07-24,2009,58.17,"E07000208","Epsom and Ewell","South East"
275000,2009-04-08,2009,103.06,"E07000208","Epsom and Ewell","South East"
190000,2009-07-28,2009,80.13,"E07000208","Epsom and Ewell","South East"
174000,2009-12-14,2009,37.2,"E07000208","Epsom and Ewell","South East"
315000,2009-06-25,2009,94.8,"E07000208","Epsom and Ewell","South East"
250000,2009-12-04,2009,53.81,"E07000208","Epsom and Ewell","South East"
220000,2009-09-25,2009,69.97,"E07000208","Epsom and Ewell","South East"
355000,2009-08-21,2009,94.42,"E07000208","Epsom and Ewell","South East"
905000,2009-10-20,2009,233,"E07000208","Epsom and Ewell","South East"
365000,2009-10-27,2009,113.4,"E07000208","Epsom and Ewell","South East"
425000,2009-10-19,2009,123.4,"E07000208","Epsom and Ewell","South East"
740000,2009-05-22,2009,205,"E07000208","Epsom and Ewell","South East"
270000,2009-12-17,2009,70.56,"E07000208","Epsom and Ewell","South East"
560000,2009-10-29,2009,150.76,"E07000208","Epsom and Ewell","South East"
5e+05,2009-06-29,2009,175.61,"E07000208","Epsom and Ewell","South East"
350000,2009-01-09,2009,126,"E07000208","Epsom and Ewell","South East"
250000,2009-03-10,2009,79,"E07000208","Epsom and Ewell","South East"
2e+05,2009-10-27,2009,79,"E07000208","Epsom and Ewell","South East"
425000,2009-09-04,2009,137.47,"E07000208","Epsom and Ewell","South East"
205000,2009-07-10,2009,79.86,"E07000208","Epsom and Ewell","South East"
215000,2009-03-31,2009,85,"E07000208","Epsom and Ewell","South East"
420000,2009-08-07,2009,132.69,"E07000208","Epsom and Ewell","South East"
269000,2009-07-16,2009,92.68,"E07000208","Epsom and Ewell","South East"
249950,2009-11-06,2009,85.17,"E07000208","Epsom and Ewell","South East"
295000,2009-01-09,2009,98.2,"E07000208","Epsom and Ewell","South East"
332500,2009-12-18,2009,73.32,"E07000208","Epsom and Ewell","South East"
66000,2009-06-24,2009,50.4,"E07000208","Epsom and Ewell","South East"
175000,2009-06-12,2009,58.125,"E07000208","Epsom and Ewell","South East"
320000,2009-06-15,2009,82.7,"E07000208","Epsom and Ewell","South East"
249950,2009-04-01,2009,86.6,"E07000208","Epsom and Ewell","South East"
419000,2009-04-30,2009,110,"E07000208","Epsom and Ewell","South East"
245000,2009-12-01,2009,96.12,"E07000208","Epsom and Ewell","South East"
730000,2009-08-19,2009,192.9,"E07000208","Epsom and Ewell","South East"
260000,2009-01-26,2009,83.36,"E07000208","Epsom and Ewell","South East"
250000,2009-02-12,2009,79.42,"E07000208","Epsom and Ewell","South East"
310000,2009-07-02,2009,79.42,"E07000208","Epsom and Ewell","South East"
578000,2009-12-11,2009,144,"E07000208","Epsom and Ewell","South East"
440000,2009-10-22,2009,155,"E07000208","Epsom and Ewell","South East"
107000,2009-02-20,2009,107.71,"E07000208","Epsom and Ewell","South East"
550000,2009-01-30,2009,167.77,"E07000208","Epsom and Ewell","South East"
363000,2009-05-21,2009,145.14,"E07000208","Epsom and Ewell","South East"
330000,2009-03-31,2009,71.4,"E07000208","Epsom and Ewell","South East"
260000,2009-01-06,2009,84.227,"E07000208","Epsom and Ewell","South East"
